GeneID	ANNOTATION_SYMBOL	NAME	ISC	EB	EC	EE	VM
FBgn0000536	CG3525	easily shocked	0.316	0.651	0.866	1.291	2.153
FBgn0000541	CG32346	Enhancer of bithorax	0.233	0.219	0.247	0.352	0.183
FBgn0000542	CG2904	echinus	0.098	0.110	0.064	0.078	0.200
FBgn0000543	CG5714	ecdysoneless	3.609	2.994	4.619	8.238	3.614
FBgn0000546	CG1765	Ecdysone receptor	0.706	0.652	0.745	0.838	0.553
FBgn0000547	CG12676	echinoid	9.743	0.929	1.291	2.045	2.588
FBgn0000551	CG7673	Ecdysone-dependent gene 78E	0.075	0.031	0.031	0.144	0.190
FBgn0000552	CG2345	Ecdysone-dependent gene 84A	0.000	0.000	0.193	0.057	0.000
FBgn0000556	CG8280	Elongation factor 1alpha48D	4214.733	4141.671	2942.878	1594.365	2715.664
FBgn0000557	CG1873	Elongation factor 1alpha100E	0.066	0.113	0.792	10.953	0.279
FBgn0000559	CG2238	Elongation factor 2	499.721	520.810	484.206	243.843	378.656
FBgn0000560	CG7383	eagle	0.003	0.024	0.012	0.017	0.009
FBgn0000562	CG4051	egalitarian	6.843	9.421	8.506	9.283	12.071
FBgn0000564	CG5400	Eclosion hormone	0.019	0.083	0.131	0.088	0.082
FBgn0000565	CG7266	Ecdysone-induced protein 28/29kD	0.847	1.557	1.343	9.713	2.653
FBgn0000566	CG5345	Eip55E	51.117	73.394	182.599	122.012	57.914
FBgn0000567	CG32180	Ecdysone-induced protein 74EF	2.120	1.710	2.004	1.435	1.637
FBgn0000568	CG8127	Ecdysone-induced protein 75B	2.511	1.582	2.861	2.289	3.053
FBgn0000575	CG1007	extra macrochaetae	19.544	20.817	27.386	29.316	34.546
FBgn0000576	CG2988	empty spiracles	0.011	0.013	0.009	0.003	0.014
FBgn0000577	CG9015	engrailed	0.075	0.083	0.067	0.042	0.077
FBgn0000578	CG15112	enabled	4.782	2.948	4.328	3.894	2.098
FBgn0000579	CG17654	Enolase	28.961	45.905	33.583	34.431	61.076
FBgn0000581	CG7776	Enhancer of Polycomb	0.612	0.407	0.377	0.355	0.278
FBgn0000588	CG14941	extra sexcombs	1.582	1.259	0.858	0.582	0.665
FBgn0000591	CG8365	"Enhancer of split m8, helix-loop-helix"	7.212	0.279	0.805	1.196	0.168
FBgn0000592	CG6917	Esterase 6	31.502	0.106	0.419	32.100	16.603
FBgn0000594	CG17148	Esterase P	0.399	0.362	0.209	0.293	0.063
FBgn0000606	CG2328	even skipped	0.013	0.068	0.023	0.255	0.093
FBgn0000611	CG8933	extradenticle	3.062	2.405	2.742	4.485	1.993
FBgn0000615	CG8994	exuperantia	0.853	0.896	0.915	1.081	0.545
FBgn0000617	CG6474	enhancer of yellow 1	10.750	4.609	6.240	5.897	4.695
FBgn0000618	CG15191	enhancer of yellow 2	12.675	11.765	15.051	13.273	8.991
FBgn0000625	CG10488	eyegone	0.660	0.160	0.613	0.496	1.459
FBgn0000629	CG6502	Enhancer of zeste	2.130	1.931	1.995	2.048	1.533
FBgn0000633	CG17716	faint sausage	0.535	0.345	0.535	21.787	0.864
FBgn0000635	CG3665	Fasciclin 2	8.093	7.182	8.959	4.838	3.936
FBgn0000636	CG5803	Fasciclin 3	2.152	7.795	3.008	5.729	5.281
FBgn0000639	CG17285	Fat body protein 1	0.046	0.121	0.037	0.005	0.013
FBgn0000640	CG3763	Fat body protein 2	0.059	0.089	0.092	0.193	0.388
FBgn0000644	CG4015	Follicle cell protein 3C	1.354	1.328	1.351	6.754	1.582
FBgn0000658	CG10917	four-jointed	0.386	0.380	0.242	0.020	1.277
FBgn0000659	CG10002	fork head	13.261	11.892	10.282	10.598	8.934
FBgn0000662	CG6315	female lethal d	3.165	2.311	3.292	4.205	2.544
FBgn0000667	CG4376	alpha actinin	0.683	0.290	0.255	0.355	0.257
FBgn0000709	CG1484	flightless I	1.579	2.637	3.227	2.381	2.370
FBgn0000711	CG2096	flapwing	9.524	12.812	12.563	8.433	14.412
FBgn0000715	CG2346	FMRFamide	0.000	0.386	0.006	0.020	0.034
FBgn0000719	CG9559	folded gastrulation	1.086	0.405	0.620	0.062	0.212
FBgn0000721	CG10033	foraging	4.401	1.781	3.803	2.410	2.149
FBgn0000723	CG8874	Fps oncogene analog	3.263	1.186	1.724	1.369	1.225
FBgn0000808	CG1505	gastrulation-defective	0.006	0.028	0.411	0.185	0.241
FBgn0000810	CG3218	female sterile (1) K10	1.028	0.890	1.635	1.675	0.938
FBgn0000826	CG11420	pan gu	0.494	2.100	0.457	0.657	0.525
FBgn0000927	CG2707	female sterile (1) Young arrest	0.017	0.025	0.032	0.065	0.026
FBgn0000928	CG2706	female sterile (1) Yb	0.002	0.005	0.003	0.004	0.001
FBgn0000964	CG10034	traffic jam	0.004	0.018	0.005	0.025	0.010
FBgn0000996	CG8171	double parked	1.748	2.028	1.422	0.710	0.824
FBgn0001075	CG3352	fat	0.022	0.142	0.060	0.345	0.089
FBgn0001077	CG2047	fushi tarazu	0.001	0.000	0.004	0.000	0.005
FBgn0001078	CG4059	ftz transcription factor 1	6.007	3.144	4.321	4.590	3.532
FBgn0001079	CG6551	fused	0.967	0.669	1.006	0.641	0.850
FBgn0001083	CG1500	furrowed	0.023	0.039	0.213	0.048	0.286
FBgn0001084	CG13396	fuzzy	0.305	0.270	0.321	0.630	0.505
FBgn0001085	CG17697	frizzled	0.537	1.127	1.026	2.810	2.914
FBgn0001086	CG4274	fizzy	3.535	2.394	1.086	1.387	2.182
FBgn0001087	CG10986	garnet	1.624	1.049	1.602	2.286	1.014
FBgn0001089	CG9092	beta galactosidase	0.143	0.099	0.925	1.110	36.185
FBgn0001090	CG7088	bangles and beads	0.088	0.115	0.344	0.185	0.827
FBgn0001091	CG12055	Glyceraldehyde 3 phosphate dehydrogenase 1	32.394	64.115	41.301	64.806	99.321
FBgn0001092	CG8893	Glyceraldehyde 3 phosphate dehydrogenase 2	58.823	115.334	84.372	90.673	135.316
FBgn0001098	CG5320	Glutamate dehydrogenase	9.920	6.325	16.119	11.560	33.881
FBgn0001099	CG33756	gonadal	0.734	1.015	0.927	0.868	0.773
FBgn0001104	CG10060	G protein alpha i subunit	32.374	61.034	44.257	5.590	34.617
FBgn0001105	CG10545	G protein beta-subunit 13F	17.448	15.909	24.413	33.836	15.417
FBgn0001108	CG9206	Glued	4.140	4.373	5.133	5.219	5.188
FBgn0001112	CG1152	Glucose dehydrogenase	0.072	0.159	0.095	0.089	0.231
FBgn0001114	CG9280	Glutactin	0.054	0.029	0.081	0.190	0.054
FBgn0001120	CG5272	giant nuclei	0.036	0.053	0.487	0.106	0.118
FBgn0001122	CG2204	G protein alpha o subunit	0.770	0.616	0.949	11.578	0.821
FBgn0001123	CG2835	G protein alpha s subunit	5.786	5.813	5.997	11.286	5.043
FBgn0001124	CG8430	Glutamate oxaloacetate transaminase 1	38.696	47.927	39.244	36.428	80.179
FBgn0001125	CG4233	Glutamate oxaloacetate transaminase 2	31.320	35.047	29.916	35.643	33.086
FBgn0001128	CG9042	Glycerol 3 phosphate dehydrogenase	7.618	11.096	13.774	19.850	18.433
FBgn0001133	CG33133	grauzone	4.762	4.720	5.845	7.181	4.867
FBgn0001134	CG7446	Glycine receptor	0.725	1.028	2.654	2.750	4.392
FBgn0001137	CG17610	gurken	4.484	4.302	5.541	1.973	8.040
FBgn0001138	CG9656	grain	0.077	0.132	0.060	0.107	0.059
FBgn0001139	CG8384	groucho	2.857	1.678	2.368	2.053	1.385
FBgn0001142	CG2718	Glutamine synthetase 1	0.752	1.417	5.030	15.675	4.829
FBgn0001145	CG1743	Glutamine synthetase 2	11.140	1.556	11.866	18.977	41.403
FBgn0001147	CG2692	gooseberry-neuro	0.009	0.020	0.009	0.187	0.008
FBgn0001148	CG3388	gooseberry	0.007	0.013	0.003	0.054	0.028
FBgn0001149	CG10045	Glutathione S transferase D1	1924.683	1568.996	1595.023	758.030	1533.881
FBgn0001150	CG7952	giant	0.913	0.966	0.606	0.801	0.508
FBgn0001168	CG6494	hairy	25.321	61.939	64.823	80.750	106.564
FBgn0001169	CG5460	Hairless	0.552	0.361	0.526	0.693	0.317
FBgn0001170	CG11607	Homeodomain protein 2.0	0.119	0.108	0.030	0.105	0.092
FBgn0001174	CG7428	halo	0.043	0.054	0.010	0.008	0.022
FBgn0001179	CG8019	haywire	2.523	3.646	3.408	2.753	2.660
FBgn0001180	CG9786	hunchback	0.009	0.098	0.026	0.011	0.035
FBgn0001185	CG4694	hermaphrodite	2.214	2.517	4.109	5.940	2.656
FBgn0001186	CG3001	Hexokinase A	30.899	24.814	31.527	14.874	34.556
FBgn0001187	CG8094	Hexokinase C	0.737	1.303	2.787	0.341	7.962
FBgn0001189	CG3095	halfway	5.479	4.497	8.822	27.450	12.439
FBgn0001197	CG5499	Histone H2A variant	785.865	539.104	355.940	286.131	208.685
FBgn0001202	CG10653	hook	10.355	12.074	12.685	17.959	10.447
FBgn0001206	CG1619	Hybrid male rescue	0.171	0.134	0.154	0.259	0.102
FBgn0001208	CG7399	Henna	0.322	0.575	0.555	0.521	0.406
FBgn0001215	CG9983	Heterogeneous nuclear ribonucleoprotein at 98DE	24.666	16.478	17.392	16.286	10.001
FBgn0001216	CG8937	Heat shock protein cognate 1	0.037	0.004	0.011	0.020	0.030
FBgn0001217	CG7756	Heat shock protein cognate 2	0.035	0.077	0.424	0.221	0.080
FBgn0001218	CG4147	Heat shock 70-kDa protein cognate 3	119.825	134.294	128.180	100.820	91.523
FBgn0001219	CG4264	Heat shock protein cognate 4	77.001	45.340	54.942	46.105	43.790
FBgn0001220	CG8542	Heat shock protein cognate 5	53.354	81.976	67.405	49.214	39.190
FBgn0001222	CG5748	Heat shock factor	4.104	5.094	4.151	6.241	3.680
FBgn0001223	CG4460	Heat shock protein 22	0.000	0.000	0.000	0.000	0.000
FBgn0001224	CG4463	Heat shock protein 23	2164.510	1228.071	1029.643	3867.283	1140.820
FBgn0001225	CG4183	Heat shock protein 26	5257.894	2556.212	2555.588	7607.508	3143.970
FBgn0001226	CG4466	Heat shock protein 27	563.133	320.622	336.374	967.520	413.601
FBgn0001227	CG4167	Heat shock gene 67Ba	3.210	3.738	4.707	22.940	5.183
FBgn0001228	CG4456	Heat shock gene 67Bb	0.003	0.008	0.014	0.019	0.011
FBgn0001229	CG4190	Heat shock gene 67Bc	136.292	219.037	102.573	383.769	85.211
FBgn0001230	CG5436	Heat shock protein 68	111.744	104.684	184.064	697.709	317.938
FBgn0001233	CG1242	Heat shock protein 83	240.572	204.379	195.843	420.171	228.027
FBgn0001234	CR31400	Heat shock RNA omega	7.206	6.920	8.927	14.102	12.144
FBgn0001235	CG17117	homothorax	0.089	0.143	0.493	3.884	0.883
FBgn0001247	CG5517	Insulin degrading metalloproteinase	10.286	10.789	8.432	9.074	8.741
FBgn0001248	CG7176	Isocitrate dehydrogenase	10.380	7.862	7.848	13.106	31.458
FBgn0001250	CG9623	inflated	0.057	0.149	0.231	0.060	0.396
FBgn0001253	CG32356	Ecdysone-inducible gene E1	0.040	0.048	0.078	0.018	0.354
FBgn0001254	CG1934	Ecdysone-inducible gene E2	0.008	0.125	0.064	0.111	0.064
FBgn0001255	CG2723	Ecdysone-inducible gene E3	0.177	0.232	0.231	0.310	0.424
FBgn0001256	CG10717	Ecdysone-inducible gene L1	0.003	0.030	0.008	0.001	0.006
FBgn0001257	CG15009	Ecdysone-inducible gene L2	45.193	51.653	28.968	12.182	26.584
FBgn0001258	CG10160	Ecdysone-inducible gene L3	79.235	91.975	44.167	55.139	41.364
FBgn0001259	CG16993	inturned	0.022	0.143	0.027	0.035	0.250
FBgn0001263	CG3504	inactivation no afterpotential D	0.173	0.229	0.178	0.112	0.158
FBgn0001269	CG17835	invected	0.004	0.005	0.007	0.003	0.006
FBgn0001276	CG13201	intersex	10.739	8.221	13.483	21.972	10.881
FBgn0001280	CG7933	janus A	23.545	31.939	25.977	15.064	17.330
FBgn0001281	CG7931	janus B	0.350	0.555	0.394	0.416	0.308
FBgn0001285	CG8579	Jonah 44E	0.119	0.178	10.996	2.745	32.758
FBgn0001291	CG2275	Jun-related antigen	24.395	30.266	26.874	29.990	28.827
FBgn0001296	CG12286	karmoisin	8.204	6.205	10.054	18.380	2.324
FBgn0001297	CG33956	kayak	42.433	39.455	40.106	51.066	43.045
FBgn0001301	CG7210	kelch	0.946	0.851	1.060	0.445	0.922
FBgn0001308	CG7765	Kinesin heavy chain	26.691	30.929	25.383	24.249	25.236
FBgn0001311	CG2666	krotzkopf verkehrt	0.003	0.037	0.010	0.040	0.065
FBgn0001313	CG17866	male fertility factor kl2	0.003	0.000	0.000	0.000	0.000
FBgn0001314	CG17629	male fertility factor kl3	0.000	0.000	0.000	0.000	0.000
FBgn0001315	CG40444	male fertility factor kl5	0.000	0.000	0.000	0.000	0.000
FBgn0001316	CG17046	klarsicht	4.679	4.375	3.719	4.264	6.156
FBgn0001319	CG10197	knot	0.006	0.009	0.014	0.031	0.005
FBgn0001320	CG4717	knirps	0.519	1.897	3.956	0.726	7.863
FBgn0001321	CG6217	knickkopf	0.676	2.301	1.256	1.224	3.907
FBgn0001323	CG4761	knirps-like	0.161	1.981	0.722	0.090	11.066
FBgn0001324	CG8491	kohtalo	0.871	0.346	0.580	0.428	0.426
FBgn0001325	CG3340	Kruppel	0.011	0.156	0.026	0.180	0.057
FBgn0001330	CG3228	kurz	0.496	0.315	0.341	0.193	0.172
FBgn0001332	CG10109	Lobe	10.771	2.730	5.186	8.887	5.427
FBgn0001337	CG3923	Exportin 6	3.704	4.174	4.334	5.402	3.757
FBgn0001341	CG6189	lethal (1) 1Bi	0.686	0.738	0.883	0.457	0.506
